x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
51.69,21.32,25.14,3.04,11.26,3.17,18,4,20.32,8.14857142857143,3.924999999999997,9.4,21.92,48.84131570845943,0.5470459,0.11,3960.0,51.796941,0.6226909,3266.3018,212.98915,80.883851,10.053145,5059.7498,91.466253
56.50247,22.613729,39.462243,2.5378892,13.319987,2.9091114,18,4,21.613729,10.07688517142857,3.6243835000000004,10.172392199999999,24.6268515,34.05174789202926,0.8028106,0.11,3960.0,35.937102,1.0296023,2021.8792,217.99842,77.284656,10.071371,2990.9938,
55.385007,21.566434,31.92032,2.7411167,10.541636,2.0042426,6,6,20.566434,8.922362314285714,6.3676505,9.597937825,21.324853,21.838120269562253,0.6277947,0.11,3960.0,23.905641,0.3695498,11299.047,437.26369,89.507789,15.10551,10000.0,87.383473
58.660823,24.610769,17.825636,3.2362423,11.840792,2.3275031,11,8,23.610769,10.106636114285717,5.1842349999999975,10.996323925,24.146176500000003,42.16453011100148,0.5375367,0.11,3960.0,45.877325,0.5530701,8555.1022,495.48895,88.670041,20.14075,10000.0,90.207256
59.745991,22.251184,21.64142,2.7551303,13.803262,3.9293605,13,5,21.251184,9.383442257142857,4.944141499999997,9.936809425,24.928854,34.98785337356246,0.5863844,0.11,3960.0,36.268856,0.5163341,5125.1648,277.11959,85.616573,12.587978,7697.1508,91.063259
47.005493,25.875112,11.108705,3.4870732,5.8804543,2.4945267,5,8,24.875112,10.508076457142856,4.6847362,11.565787700000001,18.8180103,47.85282301108428,0.2865524,0.11,3960.0,60.703345,0.1826956,30748.943,588.28387,89.504639,20.140595,10000.0,84.238704
58.652172,26.245662,29.766057,2.3952898,6.2760725,2.4860331,13,3,25.245662,12.956321828571427,9.9271825,12.02400855,19.3989035,42.19926679979487,0.750703,0.11,3960.0,52.645666,0.5098395,4095.7606,218.67375,87.260285,7.5457106,4687.4165,90.310297
52.985244,28.864987,32.691507,3.2866199,7.7041072,2.1899393,6,7,27.864987,13.044608057142858,4.356021300000002,13.110838525,22.1366007,30.224339579207438,0.6460939,0.11,3960.0,36.81359,0.5738269,8923.542,536.2247,89.662814,17.623115,9458.3645,83.731703
57.624886,30.414821,27.602931,3.4958917,7.897958,2.0335292,12,7,29.414821,13.733088742857143,5.707074499999997,13.833437575,23.1053685,54.445657447372284,,0.11,3960.0,,,,,,,,
57.896703,25.681976,39.23271,2.8729994,10.575915,3.4818421,10,5,24.681976,11.598269771428573,5.531448500000003,11.62273815,23.416902999999998,32.20003328759554,0.8602007,0.11,3960.0,34.922644,0.8723583,3710.2431,338.94238,87.408716,12.583906,4586.0173,88.592511
