x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
59.4,24.056,29.200001,2.1212445,10.249868,2.5693012,12,3,23.056,11.940368142857144,7.422132000000001,10.997688875,22.277867999999998,22.423592754767352,0.6747987,0.11,3960.0,24.67578,0.4128522,4913.5479,212.43125,87.07682,7.5581356,5737.1407,88.799881
54.72,32.0528,22.960001,2.4569264,7.7971238,2.1238131,18,3,31.052799999999998,16.98100434285714,3.5364762000000027,14.912168399999999,23.823523799999997,34.12153830146644,0.5355536,0.11,3960.0,42.65237,0.5381888,3806.5372,214.53262,83.929471,7.5534568,4325.1237,83.402341
48.84,21.9616,25.12,3.0320726,6.9729088,2.557345,14,3,20.9616,8.622711942857144,6.466291200000001,9.72278185,17.9537088,49.140854321728824,0.4876188,0.11,3960.0,57.017278,0.3809195,5161.0967,205.87507,87.040314,7.5540946,6293.4336,91.343493
59.76,27.1024,29.680002,3.2495348,8.1415037,4.8021381,10,3,26.1024,11.859787542857141,8.1872963,12.2388163,21.6927037,34.09139148814517,0.7498443,0.11,3960.0,37.444871,0.4291272,4961.4144,222.95651,89.363697,7.5540988,5615.5112,91.807847
55.08,35.0992,23.440001,2.0852168,5.6887597,4.35665,16,3,34.0992,19.900423542857148,4.301640299999995,16.528295800000002,23.238359700000004,54.639550900479385,,0.11,3960.0,,,,,,,,
55.224,31.55776,17.632002,2.8368786,7.8592662,3.907924,16,3,30.55776,15.86749994285714,3.973853799999997,14.56966035,23.6381462,38.99561274017361,0.4608045,0.11,3960.0,45.695338,0.4877786,4143.4715,211.64874,86.913307,7.5499464,4911.1545,90.340426
58.824,38.22176,22.432001,2.1163255,6.6371027,3.6549013,16,4,37.22176,22.06860614285715,3.6640172999999976,18.081798625,25.7479827,48.79905903578401,,0.11,3960.0,,,,,,,,
55.464,25.65536,27.952002,3.0890722,9.7870234,3.396482,15,5,24.65536,11.147112742857143,5.117296599999996,11.555411950000002,22.614703400000003,53.33028815377057,0.6836921,0.11,3960.0,58.520111,0.9273295,3119.3943,302.92349,84.311072,12.578247,4277.6564,91.21023
59.064,32.31936,32.752001,2.3685191,8.5648599,3.1434593,14,6,31.319360000000003,17.348218942857144,4.807460099999997,15.067550225000002,24.724539900000003,53.10658094152281,0.87578,0.11,3960.0,62.781487,1.4808242,2575.2976,399.35538,85.069033,15.107005,3110.6629,
52.584,25.08416,24.112,3.0636134,9.1885672,3.1791345,5,8,24.08416,10.790030342857143,4.561352800000002,11.27617665,21.7306472,30.76002715552298,0.5051515,0.11,3960.0,34.11949,0.405016,13731.718,582.40576,91.56188,20.140689,10000.0,89.78213
55.584,34.60416,18.112002,2.465169,5.750902,3.140761,14,3,33.60416,18.786919142857144,4.7390180000000015,16.18578775,23.052982,40.26955339856747,0.4810503,0.11,3960.0,55.542839,0.4514177,4762.5104,225.13508,88.159095,7.5501829,5317.8261,89.181329
59.904,23.56096,23.872002,2.5011967,10.31201,4.3534121,10,3,22.56096,10.826863742857146,7.85951,10.655180825,22.09249,26.380232056172805,0.6106266,0.11,3960.0,27.898023,0.2835331,7299.7073,216.73942,89.538817,7.5412582,8431.6126,89.948623
54.648,21.92352,10.864001,2.8310955,11.711871,2.3481761,17,3,20.92352,8.997466142857142,4.650369000000001,9.753986125,22.673631,27.60498894217516,0.3145731,0.11,3960.0,29.684505,0.1878155,9787.6147,192.50275,86.180441,7.5535413,10000.0,82.496947
58.848,25.73152,26.464,3.4901622,7.7744697,4.1712002,12,4,24.73152,10.399332742857142,8.7837703,11.49321945,20.6402297,54.93673984899017,0.7092778,0.11,3960.0,61.203469,0.574377,4614.1377,277.534,88.334626,10.070908,5615.4372,92.717532
55.608,22.11392,22.144002,2.3398698,9.4228994,3.302408,13,4,21.11392,10.115917542857142,7.324140599999996,9.97199255,20.479859400000002,45.6017878971812,0.5506915,0.11,3960.0,49.351364,0.4210546,5797.1404,255.61175,87.516081,10.069986,7617.5819,91.751137
59.208,28.77792,26.944,3.1184525,5.6661055,3.4040372,10,4,27.77792,13.318752142857145,9.548934499999998,13.109346875,20.0550655,51.48274257715627,,0.11,3960.0,,,,,,,,
59.808,25.92192,37.744001,2.9989365,5.4854986,2.1254321,7,6,24.92192,11.517784142857145,11.4575414,11.711225875,18.4464586,51.40763006664505,,0.11,3960.0,,,,,,,,
58.992,22.19008,20.656,2.741824,9.9449762,3.7224742,12,4,21.19008,9.366409142857144,8.455983800000002,9.909583999999999,21.040016199999997,42.12433587309079,0.5706222,0.11,3960.0,44.92812,0.3657968,6817.2286,261.14177,88.547964,10.070383,8768.2816,91.364111
55.512,24.47488,36.016002,2.8393381,9.6656487,3.365124,14,3,23.47488,10.803380942857144,5.852911300000002,11.027605475,21.903088699999998,31.919247903370255,0.7439998,0.11,3960.0,34.867808,0.6337547,3046.5802,202.19128,84.520799,7.5535428,3783.4592,
56.112,21.61888,16.816002,2.7189578,6.9504113,2.4411708,9,4,20.61888,9.004141542857143,10.2961487,9.62970055,17.7598513,42.084625273767514,0.4518918,0.11,3960.0,48.915056,0.2107113,13074.86,288.50515,90.842625,10.070164,10000.0,87.074229
59.712,28.28288,21.616001,3.4984047,5.7282479,2.1881481,9,4,27.28288,12.205247742857141,9.986312100000003,12.766838824999999,19.8696879,38.30760286664873,0.6041744,0.11,3960.0,51.283867,0.3309683,8847.8697,306.65764,89.544791,10.071352,9470.582,88.065462
59.352,25.23648,21.136001,2.3701144,7.836612,2.9553112,10,4,24.23648,12.285828342857142,9.221148,11.5257114,20.454852,36.637354535163965,0.5776563,0.11,3960.0,42.092181,0.3626957,7613.3811,289.16694,90.197947,10.068724,8800.3451,90.864347
56.952,36.66048,37.936001,2.8507712,6.1629315,4.0075041,9,6,35.66048,19.484514742857144,3.9828285,17.1175472,24.4931715,49.79272099922703,,0.11,3960.0,,,,,,,,
48.696,25.50304,30.928,2.2808429,6.0697177,4.3296093,5,6,24.50304,12.654771342857142,5.5267623000000015,11.681309274999998,18.821237699999998,51.40387689146154,0.5703892,0.11,3960.0,59.557689,0.4077077,10798.037,461.02277,93.029015,15.107108,10000.0,92.218841
58.896,24.55104,34.528001,3.2412922,10.187725,3.7851902,13,3,23.55104,10.053872742857143,6.984755,10.96519695,22.463245,29.51573117618781,0.7954605,0.11,3960.0,31.762243,0.5678965,3464.7355,206.04778,85.716107,7.5556128,4230.3577,90.511767
59.496,21.69504,15.328001,3.1217762,10.007119,2.5065851,11,5,20.69504,8.252904742857144,8.893361000000002,9.56707595,20.854639,38.83827329378106,0.4718622,0.11,3960.0,42.368114,0.2901139,10657.149,323.77118,89.54605,12.57028,10000.0,88.858709
58.536,21.50464,34.048001,2.1138661,14.83072,4.1977013,17,4,20.50464,10.13272494285714,3.684960000000004,9.723853474999999,25.583039999999997,35.31547874761018,0.7786543,0.11,3960.0,36.276224,0.8083025,2303.527,194.98259,77.393211,10.071913,3911.5349,
50.976,28.93024,23.968001,2.4253856,5.5814657,4.503752,7,4,27.93024,14.813685942857143,5.441414299999998,13.358773600000001,20.0465857,45.319964668628245,0.5010507,0.11,3960.0,55.252524,0.3466283,8504.9969,308.72143,92.037213,10.063265,9236.6044,91.563284
