x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
48.6,27.864,14.8,3.0522861,6.312467,4.3923253,6,4,26.864,12.798284942857144,4.0555330000000005,12.668928475000001,20.244467,34.16882714483379,0.3221056,0.11,3960.0,40.082719,0.1708671,17095.41,305.89098,90.761386,10.070335,18194.683,86.157556
54.6,23.104,32.800001,3.1740963,11.833245,2.3795341,18,5,22.104,9.154664542857141,3.914755000000003,10.258475924999999,23.385244999999998,46.01006719787479,0.7217281,0.11,3960.0,49.664102,0.9906439,2686.8623,278.73504,79.564244,12.589067,3578.0304,
59.4,24.056,29.200001,2.7851444,10.249868,2.5693012,12,3,23.056,10.612568342857143,7.422132000000001,10.8317139,22.277867999999998,22.423592754767352,0.6749334,0.11,3960.0,24.67578,0.4165715,4894.4895,213.51359,87.110109,7.560017,5688.668,88.727224
54.72,32.0528,22.960001,2.9212075,7.7971238,2.1238131,18,3,31.052799999999998,16.052442142857142,3.5364762000000027,14.796098124999999,23.823523799999997,34.12153830146644,0.5356588,0.11,3960.0,42.65237,0.5393976,3802.4121,214.78146,83.913096,7.5527881,4309.7288,83.240611
48.84,21.9616,25.12,3.1543334,6.9729088,2.557345,14,3,20.9616,8.378190342857142,6.466291200000001,9.69221665,17.9537088,49.140854321728824,0.4876353,0.11,3960.0,57.017278,0.3808193,5164.4243,205.95365,87.044058,7.5543626,6295.5219,91.341767
59.76,27.1024,29.680002,3.2424781,8.1415037,4.8021381,10,3,26.1024,11.873900942857144,8.1872963,12.240580475,21.6927037,34.09139148814517,0.7498428,0.11,3960.0,37.444871,0.4286992,4961.1903,222.72406,89.368658,7.5468455,5615.5417,91.807579
55.08,35.0992,23.440001,2.7705412,5.6887597,4.35665,16,3,34.0992,18.529774742857143,4.301640299999995,16.356964700000002,23.238359700000004,54.639550900479385,,0.11,3960.0,,,,,,,,
52.224,22.03776,23.632,3.3177843,11.296931,3.9462975,7,6,21.03776,8.105688542857143,3.7961889999999983,9.689433925,22.315811,31.835253419653696,0.4865798,0.11,3960.0,33.410932,0.3566984,10879.158,406.37326,90.787019,15.105688,13346.248,90.119749
55.224,31.55776,17.632002,3.0752148,7.8592662,3.907924,16,3,30.55776,15.390827542857142,3.973853799999997,14.5100763,23.6381462,38.99561274017361,0.4608439,0.11,3960.0,45.695338,0.4889866,4140.134,212.00203,86.925248,7.5516348,4900.268,90.32278
58.824,38.22176,22.432001,2.7831506,6.6371027,3.6549013,16,4,37.22176,20.734955942857148,3.6640172999999976,17.915092350000002,25.7479827,48.79905903578401,,0.11,3960.0,,,,,,,,
55.464,25.65536,27.952002,3.1774373,9.7870234,3.396482,15,5,24.65536,10.970382542857145,5.117296599999996,11.533320675,22.614703400000003,53.33028815377057,0.6837089,0.11,3960.0,58.520111,0.9276947,3120.8733,303.18649,84.316483,12.58152,4277.6531,91.2076
59.064,32.31936,32.752001,2.8853731,8.5648599,3.1434593,14,6,31.319360000000003,16.314510942857147,4.807460099999997,14.938336725000001,24.724539900000003,53.10658094152281,0.8759502,0.11,3960.0,62.781487,1.4993361,2572.829,403.96016,85.208237,15.107005,3091.65,
52.584,25.08416,24.112,3.167118,9.1885672,3.1791345,5,8,24.08416,10.583021142857142,4.561352800000002,11.2503005,21.7306472,30.76002715552298,0.5051679,0.11,3960.0,34.11949,0.4050312,13736.937,582.64905,91.563037,20.142702,15494.893,89.424551
55.584,34.60416,18.112002,2.9245485,5.750902,3.140761,14,3,33.60416,17.868160142857143,4.7390180000000015,16.070942875,23.052982,40.26955339856747,0.4811409,0.11,3960.0,55.542839,0.4540331,4744.2217,225.5699,88.154672,7.5535177,5292.2562,89.097649
59.904,23.56096,23.872002,2.9391517,10.31201,4.3534121,10,3,22.56096,9.950953742857145,7.85951,10.545692075000002,22.09249,26.380232056172805,0.610694,0.11,3960.0,27.898023,0.2844925,7297.7888,217.41562,89.540372,7.5527817,8416.3297,89.954802
54.648,21.92352,10.864001,3.0728707,11.711871,2.3481761,17,3,20.92352,8.513915742857144,4.650369000000001,9.693542325,22.673631,27.60498894217516,0.3145876,0.11,3960.0,29.684505,0.187863,9796.5122,192.7265,86.191297,7.5543282,12224.619,82.73875
58.848,25.73152,26.464,3.3400124,7.7744697,4.1712002,12,4,24.73152,10.699632342857141,8.7837703,11.5307569,20.6402297,54.93673984899017,0.7092519,0.11,3960.0,61.203469,0.5746527,4609.4976,277.38801,88.33164,10.069331,5611.7775,92.717538
55.608,22.11392,22.144002,2.8737606,9.4228994,3.302408,13,4,21.11392,9.048135942857142,7.324140599999996,9.83851985,20.479859400000002,45.6017878971812,0.5507624,0.11,3960.0,49.351364,0.4222325,5809.5212,256.8743,87.564906,10.071389,7598.5127,91.741753
59.208,28.77792,26.944,3.1893461,5.6661055,3.4040372,10,4,27.77792,13.176964942857145,9.548934499999998,13.091623475,20.0550655,51.48274257715627,,0.11,3960.0,,,,,,,,
59.808,25.92192,37.744001,3.1409023,5.4854986,2.1254321,7,6,24.92192,11.233852542857143,11.4575414,11.675734425,18.4464586,51.40763006664505,,0.11,3960.0,,,,,,,,
58.992,22.19008,20.656,3.036686,9.9449762,3.7224742,12,4,21.19008,8.776685142857144,8.455983800000002,9.835868499999998,21.040016199999997,42.12433587309079,0.5706569,0.11,3960.0,44.92812,0.3656382,6830.0464,261.51936,88.562629,10.070383,8772.3551,91.354451
55.512,24.47488,36.016002,3.0762117,9.6656487,3.365124,14,3,23.47488,10.329633742857142,5.852911300000002,10.968387074999999,21.903088699999998,31.919247903370255,0.7440555,0.11,3960.0,34.867808,0.6331276,3049.022,202.15311,84.546041,7.5448435,3782.716,
56.112,21.61888,16.816002,3.0274176,6.9504113,2.4411708,9,4,20.61888,8.387221942857144,10.2961487,9.5525856,17.7598513,42.084625273767514,0.4519203,0.11,3960.0,48.915056,0.2106087,13092.858,288.76162,90.846358,10.070292,15039.327,87.014303
59.712,28.28288,21.616001,3.3433534,5.7282479,2.1881481,9,4,27.28288,12.515350342857142,9.986312100000003,12.80560165,19.8696879,38.30760286664873,0.6041491,0.11,3960.0,51.283867,0.3308885,8849.8711,306.65301,89.547793,10.069,9468.444,88.072757
59.352,25.23648,21.136001,2.8860197,7.836612,2.9553112,10,4,24.23648,11.254017742857142,9.221148,11.396735075,20.454852,36.637354535163965,0.5777351,0.11,3960.0,42.092181,0.3645523,7601.6254,290.19837,90.217262,10.070377,8757.942,90.859387
56.952,36.66048,37.936001,3.0808459,6.1629315,4.0075041,9,6,35.66048,19.024365342857145,3.9828285,17.060028525,24.4931715,49.79272099922703,,0.11,3960.0,,,,,,,,
48.696,25.50304,30.928,2.849835,6.0697177,4.3296093,5,6,24.50304,11.51678714285714,5.5267623000000015,11.53906125,18.821237699999998,51.40387689146154,0.5705194,0.11,3960.0,59.557689,0.410524,10751.196,462.19364,93.035258,15.105563,11724.937,92.091827
58.896,24.55104,34.528001,3.2391371,10.187725,3.7851902,13,3,23.55104,10.058182942857142,6.984755,10.965735725,22.463245,29.51573117618781,0.7954601,0.11,3960.0,31.762243,0.5678235,3465.0596,206.04054,85.718729,7.5544509,4230.2544,90.511648
59.496,21.69504,15.328001,3.1906933,10.007119,2.5065851,11,5,20.69504,8.115070542857143,8.893361000000002,9.549846675,20.854639,38.83827329378106,0.4718677,0.11,3960.0,42.368114,0.290103,10662.289,323.91521,89.547853,12.571965,13474.569,88.627772
58.536,21.50464,34.048001,2.7821537,14.83072,4.1977013,17,4,20.50464,8.796149742857141,3.684960000000004,9.556781574999999,25.583039999999997,35.31547874761018,0.7787893,0.11,3960.0,36.276224,0.8136778,2313.6019,197.13771,77.578564,10.075192,3889.4092,
50.976,28.93024,23.968001,2.908423,5.5814657,4.503752,7,4,27.93024,13.847611142857142,5.441414299999998,13.23801425,20.0465857,45.319964668628245,0.5011509,0.11,3960.0,55.252524,0.349103,8460.4854,309.29829,92.040686,10.064082,9171.3568,91.563908
49.9248,23.842752,15.3664,3.0567668,7.8614377,3.5018406,15,3,22.842752,9.917003542857143,5.1795863,10.6571843,19.7828137,48.83540500499202,0.3655626,0.11,3960.0,54.577275,0.2801042,6989.2478,205.01171,88.027677,7.5486935,8576.191,89.704075
56.6448,25.175552,34.326401,2.8770692,7.8981724,4.6320493,10,4,24.175552,11.228398742857145,7.8364516,11.3685087,20.485948399999998,51.487625709014296,0.8027834,0.11,3960.0,56.275073,0.6037372,4495.0801,284.19341,88.815921,10.071391,5346.042,92.464095
57.9648,28.412352,16.0864,3.1345922,8.4315762,2.528422,25,3,27.412352,13.025352742857141,6.344647799999997,12.92252795,22.6377522,51.16215691155047,0.5026691,0.11,3960.0,60.054467,0.5432454,3422.3009,194.68966,81.946455,7.5534943,4251.528,90.613366
