x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
56.2848,22.129152,33.8464,2.719742,10.006537,2.3992124,11,4,21.129152,9.367053,7.071287,9.884641,21.071114,29.931236,0.7156452,0.11,3960.0,32.81218,0.5299151,4935.7334,273.8966,87.27485,10.078803,5959.7104,89.36415
57.1488,24.680511,28.998402,2.7271204,5.4256845,3.7708123,6,3,23.680511,11.174696,10.808459,11.158476,17.76594,33.035805,0.6837436,0.11,3960.0,39.915775,0.2193384,10199.129,234.26447,91.869125,7.5527787,10879.723,89.92095
56.7888,21.634111,28.518402,3.0996943,10.068679,4.1833234,10,4,20.634111,8.253549,7.508665,9.542132,20.885735,39.5072,0.6698784,0.11,3960.0,41.58963,0.4070397,6329.057,269.7767,88.955124,10.070296,7889.5503,91.730385
58.1088,24.870913,10.278401,2.2350307,10.602083,2.079696,25,3,23.870913,12.294876,6.016861,11.3766985,23.037539,40.180943,0.3737599,0.11,3960.0,44.676945,0.26808,6531.2837,183.35452,82.63732,7.553456,8147.983,86.92581
51.8928,23.043072,15.9904,3.0578835,9.360175,4.4109244,15,3,22.043072,9.34357,5.0646887,10.257065,20.881712,48.329025,0.3960881,0.11,3960.0,51.366703,0.2799143,6752.861,197.94363,87.472435,7.5531173,8600.202,89.669044
59.4768,26.927233,30.1024,2.620633,11.014112,2.9447107,13,7,25.927233,12.992472,5.260672,12.308457,24.477728,48.39841,0.8080529,0.11,3960.0,53.128296,1.182163,3472.4717,429.87747,85.50813,17.624784,4397.106,88.67478
55.9968,29.212032,15.462401,2.7172828,8.200154,2.9420123,13,4,28.212032,14.431171,5.19223,13.426695,22.80617,37.883076,0.4333613,0.11,3960.0,44.464584,0.4017495,6882.783,289.56628,89.05508,10.060567,7834.03,90.12422
59.5968,35.876034,20.2624,3.4967296,6.9779906,2.6889896,13,5,34.876034,17.632278,4.8823934,16.563833,24.916006,44.703014,0.6088606,0.11,3960.0,58.897636,0.7184444,4968.6436,373.81747,88.25983,12.5891,5481.63,85.69905
56.2368,23.309631,25.7824,2.9694762,10.127911,2.4305704,12,6,22.309631,9.710785,6.335673,10.412447,21.782726,46.02314,0.6392931,0.11,3960.0,50.67406,0.6698035,5464.0513,383.25763,87.495026,15.106992,6725.261,90.659164
59.2368,32.82963,19.7824,2.3684392,9.086354,3.4561527,14,5,31.829632,17.712858,4.1172295,15.322706,25.501171,41.95179,0.5800348,0.11,3960.0,48.69996,0.7902327,4194.733,347.12662,87.57619,12.589203,4933.603,88.38584
59.8368,29.973633,30.5824,2.2489233,8.905747,2.1775477,12,7,28.973633,15.911891,6.0258365,13.924585,23.892563,48.25844,0.8337125,0.11,3960.0,57.150352,1.0628,4336.8677,482.6767,87.0579,17.624674,5028.347,84.65042
56.3568,32.25843,15.942401,2.3455732,6.0917897,2.1748495,11,4,31.258432,17.350592,5.957394,15.042823,22.221006,37.593132,0.4493699,0.11,3960.0,51.51405,0.3083752,9282.817,299.7698,87.89853,10.07133,9851.067,85.81314
52.9008,22.052992,35.3344,2.3151953,11.880568,3.043102,5,7,21.052992,10.121746,3.543336,9.947697,22.907064,20.648027,0.6079003,0.11,3960.0,21.912458,0.4342382,10890.396,495.2224,90.37599,17.623104,12590.138,87.85996
59.6208,23.385792,24.294401,3.3722947,13.184618,2.4959848,14,7,22.385792,8.959548,4.932886,10.349822,24.877514,42.98843,0.6738429,0.11,3960.0,45.841183,0.7960331,4605.5767,383.92267,84.471695,17.624655,6141.747,89.79545
59.7408,32.33459,14.454401,2.7483914,9.148497,2.2402637,13,5,31.334593,16.599354,4.554607,14.980198,25.315792,33.74182,0.4621126,0.11,3960.0,40.290333,0.4162414,8411.681,366.6542,87.64266,12.587941,9294.481,85.15708
59.3808,29.288193,13.9744,3.1201012,11.256861,3.0074267,15,5,28.288193,13.6799345,3.789443,13.364071,25.900957,35.853207,0.4532548,0.11,3960.0,39.662632,0.5066426,6314.8228,335.036,87.42816,12.589169,7510.444,89.35278
57.7296,27.056704,24.5728,2.106461,6.2520704,2.9303327,6,7,26.056704,14.113295,9.084377,12.501737,19.780422,47.49708,0.645772,0.11,3960.0,58.724422,0.4776058,10454.223,522.86554,92.47213,17.621902,11677.54,91.10401
