Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Constraint 2;Post Process;Comment
11;59.035051;21.300567;15.766179;20.300567;8.3824582;2.9161164;9.4212546;13.642941;2.3396505;23.793225;30;4;0.5000000;1.2810124;55.618880;62.235267;0.5393586;10.070394;19.798990;0.5119361;3095.9693;257.99744;165.97436;231.25661;65.282249;71.770646;28.959654;47.819582;10.070789;19.798592;0.0585022;4960.5298;413.37749;30.389897;33.858528;3.4686311;89.755517;8.6266438;2.4163730;0.9647680;19.789472;330.00000;45.621110;49.786503;4.1653934;91.633489;7.9366174;11.226246;1.7543008;16.442489;91.633489;0.5393586;1;
12;59.089411;21.588445;16.555812;20.588445;8.2778681;3.0712250;9.5264164;13.212066;2.9768433;23.506289;5;4;0.5000000;1.2810124;10.580966;13.779559;0.3923475;10.070394;19.798990;0.1020016;25691.504;2140.9587;274.42582;330.89349;56.467673;82.934789;0.6705214;16.632185;10.070219;19.799334;0.1020003;10000.000;833.33333;106.81446;125.80219;18.987722;84.906684;1.6641639;13.830233;9.3334679;8.0140623;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3923475;1;
13;58.635095;21.611500;23.245132;20.611500;8.7718616;2.8324621;9.5976345;14.953374;2.1523341;25.259124;5;5;0.5000000;1.4332604;9.6623832;12.422738;0.4422752;12.587993;19.798990;0.1689590;18968.639;1580.7199;335.61862;413.31651;77.697890;81.201358;4.8411488;16.792386;12.588998;19.799664;0.1689387;10000.000;833.33333;176.91218;211.43985;34.527672;83.670215;5.6530693;14.358070;11.802301;10.676692;330.00000;45.616550;56.114878;10.498328;81.291364;3.5378171;8.9486551;7.5287976;4.3509945;81.291364;0.4422752;1;
14;58.352935;30.991887;24.937836;29.991887;15.358362;2.8893499;14.273606;9.7223279;2.8100838;24.718271;9;5;0.5000000;1.4332604;27.145182;31.666495;0.5867542;12.587993;19.798990;0.5670964;6350.7687;529.23072;377.14797;422.53516;45.387195;89.258363;12.504153;11.806562;12.587979;19.799004;0.0564271;6946.0270;578.83558;41.044324;57.182191;16.137867;71.778160;2.2343655;1.2388331;1.6680832;19.797725;330.00000;45.614716;53.493020;7.8783037;85.272277;3.5733705;1.9754907;2.6746558;11.496975;85.272277;0.5867542;1;
15;56.832889;24.797348;36.341685;23.797348;12.432346;2.1400227;11.363668;10.206939;4.6914598;22.105613;11;5;0.5000000;1.4332604;52.115472;59.456795;0.8449727;12.587993;19.798990;0.8513937;3558.2359;296.51966;317.24426;367.02453;49.780269;86.436801;2.8715708;31.774633;12.589249;19.799796;0.0821395;4728.8199;394.06833;40.675536;45.091841;4.4163050;90.205978;0.5996424;3.9138176;1.3183029;19.798837;330.00000;45.615923;49.711185;4.0952618;91.761891;0.6812650;5.1575486;1.7167549;16.713158;91.761891;0.8449727;1;
16;58.113575;23.354415;21.200109;22.354415;10.396554;2.6425856;10.516561;12.296823;4.7136271;23.474030;24;3;0.5000000;1.1432198;53.791819;61.017346;0.5972475;7.5527958;19.798990;0.6050436;2391.9517;199.32931;151.55412;198.24192;46.687800;76.449077;3.8724177;40.072779;7.5556351;19.794847;0.0596721;3947.9673;328.99727;24.670229;27.034113;2.3638840;91.255922;0.7002490;6.1436163;0.7929335;19.798811;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.5972475;1;
17;59.025415;23.818177;24.807625;22.818177;11.055701;2.4786413;10.789428;12.667477;4.7990380;24.076565;10;4;0.5000000;1.2810124;28.164497;33.260396;0.6070445;10.070394;19.798990;0.3990694;6450.7378;537.56148;269.57927;303.53301;33.953746;88.813821;2.0073943;28.499458;10.070295;19.801879;0.0386121;8004.4988;667.04157;32.365801;39.658113;7.2923120;81.612055;0.7263838;3.4151289;1.1588390;19.797395;330.00000;45.616188;50.337766;4.7215787;90.620206;0.9030527;8.9194081;2.8585196;10.272095;90.620206;0.6070445;1;
18;57.303092;23.071394;22.486794;22.071394;10.133833;2.6728670;10.367480;13.259572;4.8447232;24.295269;10;7;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
19;51.674297;24.816296;26.526637;23.816296;11.864693;2.4306167;11.300494;8.6544048;4.4382833;20.562553;14;3;0.5000000;1.1432198;49.574915;56.987295;0.5509029;7.5527958;19.798990;0.4775798;4099.5254;341.62711;205.02563;237.08902;32.063391;86.476223;2.1278971;23.756407;7.5535471;19.799571;0.0487002;5045.9840;420.49867;25.733896;29.141259;3.4073637;88.307425;0.4400600;3.0044896;0.8511663;19.798073;330.00000;45.615969;49.579336;3.9633667;92.006011;0.7757450;6.3519246;1.7995083;15.953432;92.006011;0.5509029;1;
20;53.778412;28.996075;22.891226;27.996075;12.900353;3.4055646;13.146646;7.8918213;2.5977897;21.889859;13;4;0.5000000;1.2810124;44.406867;50.747654;0.5241889;10.070394;19.798990;0.5647322;4991.8125;415.98438;295.20890;335.03743;39.828535;88.112213;13.671632;14.068861;10.071333;19.799390;0.0562293;5627.8086;468.98405;33.138325;40.854113;7.7157886;81.113802;2.3363762;1.2782518;1.1927078;19.797583;330.00000;45.612600;51.357585;5.7449860;88.813754;4.1165186;2.1830064;2.0834340;14.191821;88.813754;0.5241889;1;
21;59.555191;22.096413;20.271794;21.096413;8.7830677;3.0000422;9.7981959;12.100498;4.4465699;22.648704;23;3;0.5000000;1.1432198;53.704612;60.987246;0.5994273;7.5527958;19.798990;0.5148630;2808.8537;234.07114;151.44308;194.97687;43.533784;77.672334;3.0504586;41.180870;7.5424906;19.829147;0.0504257;4636.9821;386.41518;24.485910;26.837072;2.3511615;91.239128;0.5987000;6.2745656;0.7872950;19.798322;330.00000;45.616035;49.335626;3.7195905;92.460640;0.9448880;12.938793;1.6470769;17.672389;92.460640;0.5994273;1;
22;59.427449;21.609621;19.875389;20.609621;8.4966361;2.9694037;9.5624596;12.431916;4.3033641;22.736727;16;3;0.5000000;1.1432198;35.502275;41.259554;0.5422267;7.5527958;19.798990;0.3391950;5083.5372;423.62810;180.56936;212.68230;32.112946;84.900979;2.0536401;34.815286;7.5453407;19.822341;0.0323445;7065.5600;588.79667;23.931843;27.818751;3.8869078;86.027742;0.5146021;4.6255596;0.8140669;19.798156;330.00000;45.616155;50.457252;4.8410967;90.405548;0.9546428;13.772242;2.4893393;12.015845;90.405548;0.5422267;1;
23;59.344293;22.182263;21.848950;21.182263;8.9124298;2.9660219;9.8496261;12.341835;4.4197950;22.932966;9;6;0.5000000;1.5911023;40.183684;46.317613;0.5975522;15.105592;19.798990;0.4329679;8013.8787;667.82323;363.35158;405.59869;42.247109;89.584012;2.1238684;38.470243;15.071976;19.845103;0.2088263;10000.000;833.33333;218.68240;234.82441;16.142009;93.125924;1.5329342;21.988285;7.3859477;19.796000;330.00000;45.616221;49.857724;4.2415031;91.492786;0.8571944;11.851197;3.9012229;7.5209533;91.492786;0.5975522;1;
24;53.941995;29.085209;39.439639;28.085209;15.179266;2.2979417;13.468119;8.8566530;4.4168255;22.899257;16;3;0.5000000;1.1432198;44.209338;50.705685;0.7936226;7.5527958;19.798990;0.9859164;1913.4828;159.45690;197.55739;241.54248;43.985092;81.789914;2.0789804;21.178966;7.5413048;19.831683;0.0958964;2430.7931;202.56609;24.410623;27.716667;3.3060437;88.072001;0.5110936;2.5461603;0.8092271;19.798766;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.7936226;1;
25;58.381973;24.215815;23.486135;23.215815;11.741402;2.2778045;11.038456;9.7504963;2.2468360;21.358404;16;4;0.5000000;1.2810124;44.579483;50.689785;0.6153381;10.070394;19.798990;0.5552022;4551.3079;379.27566;264.61596;309.71825;45.102294;85.437638;15.229614;26.299581;10.071320;19.799622;0.0541547;5466.0076;455.50064;30.998074;36.749471;5.7513974;84.349714;2.7293671;2.4031647;1.0735009;19.798586;330.00000;45.615230;50.640491;5.0252612;90.076595;4.4227358;4.9932361;1.9908359;14.662839;90.076595;0.6153381;1;
26;59.803036;21.732456;18.619684;20.732456;9.5626910;2.4802459;9.7461664;14.833388;4.7951464;25.199616;10;9;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
27;59.619318;22.429650;19.117384;21.429650;10.053928;2.4836251;10.093919;14.520943;4.7148180;25.235768;11;8;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
28;59.384987;21.735394;18.052384;20.735394;9.5010908;2.5120952;9.7396731;14.816990;4.8817037;25.184687;9;8;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
29;58.844309;24.093554;15.798907;23.093554;9.2336774;3.4880019;10.674776;11.981760;3.3371200;23.528537;10;3;0.5000000;1.1432198;17.777002;21.645145;0.4052028;7.5527958;19.798990;0.1871857;11022.998;918.58313;216.07327;243.92952;27.856253;88.580204;1.5346004;19.664279;7.5526085;19.801809;0.1871899;10000.000;833.33333;196.02484;222.12947;26.104635;88.248009;2.0964701;19.014812;7.5282892;18.018523;330.00000;45.615998;53.490980;7.8749814;85.277926;1.2150679;11.027101;4.4089933;7.1344760;85.277926;0.4052028;1;
30;52.880000;26.997768;22.488640;25.997768;14.248422;2.0178489;12.494422;6.7106350;2.3028934;19.709519;10;5;0.5000000;1.4332604;56.140148;63.833496;0.5216549;12.587993;19.798990;0.4737995;7519.9907;626.66589;373.11315;414.18562;41.072464;90.083561;14.003231;16.424113;12.589149;19.799404;0.0469790;8342.6889;695.22408;41.042945;51.700195;10.657250;79.386441;3.2726372;0.8181419;1.5108402;19.797159;330.00000;45.612137;50.540721;4.9285838;90.248291;5.3291276;2.7010911;3.0075367;9.6991683;90.248291;0.5216549;1;
31;59.985513;21.776160;18.223600;20.776160;9.5820239;2.4861881;9.7665330;14.930923;4.4129223;25.319003;11;9;0.5000000;1.9173307;53.556046;60.382202;0.6002767;22.658387;19.798990;0.6340669;5505.3556;458.77963;365.55190;433.01326;67.461368;84.420485;7.9890767;56.138117;22.658358;19.798986;0.1715691;10000.000;833.33333;179.66674;192.68544;13.018704;93.243546;2.2488135;24.984501;6.2021013;19.789502;330.00000;45.618979;49.402496;3.7835167;92.341446;1.3824211;16.350958;3.9503385;7.5149269;92.341446;0.6002767;1;
32;59.777338;21.901229;17.983150;20.901229;9.6314688;2.5061331;9.8240813;14.778948;4.4286824;25.229563;10;8;0.5000000;1.7525822;43.941661;50.014963;0.5553367;20.140789;19.798990;0.5134484;6968.9450;580.74542;374.70759;431.86630;57.158711;86.764721;5.0248349;51.305202;20.125753;19.817017;0.2491831;10000.000;833.33333;260.94396;281.99917;21.055204;92.533594;2.7663601;33.396478;9.8521135;19.793701;330.00000;45.616551;49.822215;4.2056640;91.558657;1.2595188;16.195828;4.3659794;6.8554217;91.558657;0.5553367;1;
