Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Goal 2
11;51.981541;21.745596;10.135668;20.745596;8.4187386;3.0569150;9.6085693;11.358677;2.5233925;22.231475;14;6;0.5000000;1.5911023;52.949555;59.665182;0.3423047;15.105592;19.798990;0.2745226;11326.610;943.88415;325.61665;374.07542;48.458778;87.045720;17.763428;43.790532;15.106921;19.800157;0.2745008;10000.000;833.33333;287.45659;334.04048;46.583887;86.054419;17.849911;43.257783;15.063577;17.576216;330.00000;45.620598;52.525799;6.9052010;86.853697;0.2628165;23.897117;5.6237513;5.8938336;86.853697;0.3423047
12;47.806039;22.187057;10.017452;21.187057;8.3680849;3.2399064;9.7835518;9.0469670;2.2309689;20.140495;8;8;0.5000000;1.7525822;54.441164;61.600991;0.2947889;20.140789;19.798990;0.2106979;23289.651;1940.8043;513.86816;572.32459;58.456425;89.786141;13.664854;34.048352;20.142532;19.799939;0.2106857;10000.000;833.33333;220.62958;256.39743;35.767854;86.049839;13.440097;31.400550;19.571654;8.8622898;330.00000;45.619003;54.424872;8.8058689;83.820138;4.2695943;18.347775;9.7952025;3.3762532;83.820138;0.2947889
13;51.189833;21.828039;10.414898;20.828039;8.2534316;3.1690124;9.6217664;10.908027;2.9678182;21.822047;15;5;0.5000000;1.4332604;53.779783;60.749194;0.3324778;12.587993;19.798990;0.2717134;9591.5883;799.29902;272.91677;315.42707;42.510300;86.522939;7.8037051;43.064131;12.587962;19.799036;0.2476145;10000.000;833.33333;259.30126;295.63098;36.329714;87.711127;6.5308006;40.972552;11.420272;19.797508;330.00000;45.616909;52.524633;6.9077244;86.848600;2.2679696;21.131353;5.0070713;6.4893868;86.848600;0.3324778
14;55.151481;21.695073;36.666458;20.695073;10.211112;2.1426843;9.8118652;11.085637;2.8347776;21.933173;19;4;0.5000000;1.2810124;52.282568;59.073550;0.8047416;10.070394;19.798990;0.9577466;2103.3644;175.28036;210.95690;274.27861;63.321714;76.913361;10.557443;37.426186;10.071368;19.800023;0.0955481;3223.8776;268.65647;32.257388;35.497729;3.2403411;90.871695;0.7941194;5.9614687;1.0366712;19.797603;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.8047416
15;56.928299;26.487272;17.852776;25.487272;11.538108;3.1906859;11.945965;8.8660477;2.3976193;22.109684;12;5;0.5000000;1.4332604;46.445778;52.812267;0.4950479;12.587993;19.798990;0.4476706;7618.2832;634.85694;357.14474;400.63510;43.490360;89.144646;14.437146;21.902833;12.589161;19.799479;0.0444103;8664.2246;722.01872;40.294142;51.117276;10.823133;78.826858;3.2419611;1.5845568;1.4934490;19.796614;330.00000;45.614335;50.699532;5.0851972;89.969933;5.4542641;4.4555229;3.1183214;9.4000914;89.969933;0.4950479
16;46.187829;23.922909;10.121187;22.922909;9.1555633;3.4661144;10.594926;7.5302450;2.4034572;19.491699;7;5;0.5000000;1.4332604;38.068736;44.254180;0.2450622;12.587993;19.798990;0.1302397;26068.195;2172.3496;355.53557;407.01127;51.475695;87.352759;5.0296123;19.480984;12.589085;19.799112;0.1302251;10000.000;833.33333;136.37140;158.32369;21.952289;86.134552;5.3323629;17.113864;11.981025;7.9826577;330.00000;45.616238;58.025738;12.409500;78.613800;4.2251613;13.133680;9.9543422;3.4546439;78.613800;0.2450622
17;59.794697;21.812514;10.137870;20.812514;8.4108939;3.0847368;9.6350730;14.038414;2.6353166;24.944671;27;4;0.5000000;1.2810124;49.076362;55.156998;0.4218473;10.070394;19.798990;0.3334411;4994.5719;416.21432;174.39979;226.91611;52.516320;76.856504;24.399889;48.919947;10.071230;19.799883;0.0336968;8211.9202;684.32668;28.977542;33.724666;4.7471241;85.923881;2.6972846;7.4007477;1.0027601;19.790385;330.00000;45.627687;51.227266;5.5995792;89.069143;3.4210029;23.137799;2.9082532;11.023089;89.069143;0.4218473
18;49.921981;22.187662;10.062629;21.187662;8.2481144;3.3001079;9.7688042;10.184553;2.6754323;21.278384;13;5;0.5000000;1.4332604;48.986849;55.594706;0.3037589;12.587993;19.798990;0.2298180;12524.396;1043.6997;301.41817;341.76170;40.343521;88.195423;7.8394821;37.668176;12.589185;19.799962;0.2298016;10000.000;833.33333;240.64772;277.65173;37.004015;86.672507;8.0266870;36.793844;12.524288;15.983261;330.00000;45.616442;53.581607;7.9651652;85.134516;2.4767198;19.997396;5.8769750;5.6010196;85.134516;0.3037589
19;58.875861;34.417572;14.360216;33.417572;19.011990;2.2859948;16.137287;7.8783189;2.9030032;25.087105;16;5;0.5000000;1.4332604;62.981736;70.711776;0.4952837;12.587993;19.798990;0.6230538;5341.6958;445.14132;348.52449;398.57105;50.046559;87.443504;17.016040;22.593394;12.585516;19.805228;0.0621496;6243.8880;520.32400;40.637031;49.244958;8.6079266;82.520187;4.4061327;1.1712512;1.4458179;19.797660;330.00000;45.613008;51.144646;5.5316378;89.184327;7.0234250;1.6109328;2.2982560;12.790218;89.184327;0.4952837
20;55.702221;23.993339;34.059696;22.993339;10.527740;2.8051798;10.795375;8.1499189;2.8524691;20.146589;8;7;0.5000000;1.5912727;57.294190;64.944969;0.7858661;17.623190;19.798990;0.7703101;5912.0714;492.67261;476.90719;528.85943;51.952233;90.176552;4.9207915;28.949400;17.623170;19.799010;0.0738969;7256.1002;604.67502;56.151067;65.011466;8.8603994;86.371020;0.7145617;3.5182504;1.8986385;19.798443;330.00000;45.616148;50.159889;4.5437410;90.941485;0.9327135;4.8848162;2.6348966;10.958628;90.941485;0.7858661
