Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Goal 2
94;59.908477;23.524882;25.029217;22.524882;9.4731832;3.1651519;10.471153;9.5177665;2.6131223;21.280207;16;4;0.5000000;1.2810124;50.507812;57.262953;0.6893716;10.070394;19.798990;0.6127576;3956.4921;329.70767;253.87950;299.24512;45.365617;84.839981;9.5226807;29.938959;10.070668;19.799466;0.0588737;5080.0107;423.33422;31.319481;35.782043;4.4625616;87.528489;0.4960577;4.4201933;1.0443980;19.798488;330.00000;45.616807;49.998987;4.3821804;91.235462;1.1248398;7.3848621;1.8375677;15.759975;91.235462;0.6893716
95;52.233196;25.160491;20.766154;24.160491;11.499941;2.7359191;11.396266;8.7629740;2.6624624;21.343219;13;4;0.5000000;1.2810124;44.281007;50.616646;0.4660210;10.070394;19.798990;0.4525778;5859.0980;488.25817;277.68513;315.29553;37.610398;88.071382;7.9372024;24.098928;10.079665;19.783999;0.0448491;6952.1493;579.34578;32.651386;39.834641;7.1832550;81.967316;1.0804817;3.1211801;1.1624383;19.797460;330.00000;45.616104;50.481679;4.8655751;90.361701;1.8017704;7.0173573;2.5080644;11.680219;90.361701;0.4660210
96;50.724672;27.702519;30.028077;26.702519;14.368985;2.2092643;12.798944;7.1772724;4.8028747;21.028532;13;3;0.5000000;1.1432198;57.836927;66.205980;0.5972242;7.5527958;19.798990;0.5757011;3524.6406;293.72005;212.49099;244.53862;32.047636;86.894653;1.9931286;19.260370;7.5535427;19.799454;0.0584292;4190.6054;349.21711;25.641004;28.944444;3.3034398;88.586964;0.4181873;2.3391639;0.8449467;19.798459;330.00000;45.615937;49.693832;4.0778952;91.793961;0.6427342;4.2224481;1.5118881;18.958724;91.793961;0.5972242
97;45.052015;25.575602;10.947289;24.575602;13.076283;2.0960023;11.763800;6.0296098;4.8682202;18.817411;6;3;0.5000000;1.1432198;40.818749;48.733654;0.2363585;7.5527958;19.798990;0.0819909;26350.258;2195.8548;226.24509;253.88054;27.635445;89.114784;1.0346862;11.448682;7.5534828;19.799331;0.0819816;10000.000;833.33333;85.850944;98.234489;12.383544;87.393893;1.2013348;10.221890;7.2616063;7.9361934;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2363585
98;49.460353;27.724611;17.525296;26.724611;14.769994;2.0166499;12.858143;7.0115925;4.8366324;20.873898;10;4;0.5000000;1.2810124;61.945854;70.721446;0.3974013;10.070394;19.798990;0.3402300;8186.7863;682.23219;291.68537;321.39751;29.712138;90.755330;2.0862786;21.499691;10.072124;19.800904;0.0327596;9441.4850;786.79041;32.389713;38.902655;6.5129419;83.258362;0.7207608;2.2677771;1.1355963;19.798298;330.00000;45.615943;49.955768;4.3398245;91.312666;0.9542346;7.3277595;3.3098056;8.7646453;91.312666;0.3974013
99;56.455129;29.558384;31.627163;28.558384;15.197563;2.4577843;13.664746;8.5426874;2.4710825;23.321879;13;4;0.5000000;1.2810124;39.259488;45.015702;0.7063995;10.070394;19.798990;0.7629074;3642.2208;303.51840;290.98239;336.53273;45.550338;86.464812;15.974041;13.038068;10.071315;19.799405;0.0756414;4155.6857;346.30715;32.917798;40.590795;7.6729970;81.096707;3.1914497;0.7094253;1.1865357;19.797652;330.00000;45.609304;53.393617;7.7843124;85.420893;4.3935403;0.9114201;1.6196501;18.982313;85.420893;0.7063995
100;58.722014;27.622112;22.496098;26.622112;13.707815;2.5111324;12.683273;5.5953233;2.5411162;19.406379;10;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
101;45.404259;25.786894;10.099231;24.786894;13.120271;2.1494696;11.856080;5.7719968;4.7222818;18.665444;5;4;0.5000000;1.2810124;46.357420;54.721227;0.2340045;10.070394;19.798990;0.0846397;33920.006;2826.6672;300.64832;336.98494;36.336623;89.217137;0.9878083;12.658178;10.071401;19.799162;0.0846307;10000.000;833.33333;88.625042;101.58832;12.963281;87.239399;1.2104515;11.020937;9.5863189;6.2331535;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2340045
102;45.665886;26.772556;10.101326;25.772556;13.887653;2.1178006;12.356828;5.2094749;4.4298333;18.595753;5;3;0.5000000;1.1432198;36.343809;43.950023;0.2268574;7.5527958;19.798990;0.0642885;32825.076;2735.4230;220.98730;255.92711;34.939807;86.347751;0.8826256;8.8441138;7.5526936;19.799254;0.0642877;10000.000;833.33333;67.321933;77.751880;10.429947;86.585601;1.0011123;7.5939264;7.0537281;6.4201833;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2268574
103;51.671646;29.041086;12.096903;28.041086;15.323042;2.2102952;13.467969;7.4619707;4.9026503;21.982514;14;3;0.5000000;1.1432198;55.773647;63.767406;0.3357089;7.5527958;19.798990;0.2627321;7798.2252;649.85210;214.55445;240.82456;26.270116;89.091596;2.1038077;21.595373;7.5527838;19.799010;0.0252370;9143.7731;761.98109;24.165249;29.327211;5.1619620;82.398729;0.6221152;2.4144386;0.8561729;19.798225;330.00000;45.615943;50.916136;5.3001924;89.590348;1.1078714;9.4524707;3.1931737;9.3303798;89.590348;0.3357089
104;55.566008;28.966214;15.772160;27.966214;13.380566;3.1547937;13.194409;9.2385882;2.9059067;23.721695;6;7;0.5000000;1.5912727;30.004660;34.957230;0.4093342;17.623190;19.798990;0.3151227;15691.397;1307.6164;517.80936;578.99871;61.189351;89.431867;7.9066510;16.648978;17.623056;19.799108;0.3151280;10000.000;833.33333;330.00132;370.57854;40.577230;89.050303;8.1001596;15.684736;17.274946;12.864653;330.00000;45.615860;52.061313;6.4454528;87.619496;3.2884716;5.4153258;6.1384337;4.9134851;87.619496;0.4093342
105;46.865652;25.164534;35.254942;24.164534;12.641031;2.1668181;11.540562;6.9663352;3.1988422;19.548602;12;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
106;59.497489;24.587101;18.967027;23.587101;10.381857;3.0901790;11.021006;9.7218349;4.6476482;22.015386;14;4;0.5000000;1.2810124;57.828020;65.741067;0.5700733;10.070394;19.798990;0.4511014;5385.6888;448.80740;254.41581;291.28594;36.870133;87.342289;2.0970600;32.507357;10.053485;19.835898;0.0468306;7118.2629;593.18858;34.908565;38.853354;3.9447884;89.846981;0.5207866;4.3419380;1.1366025;19.797148;330.00000;45.616133;49.368057;3.7519241;92.400098;0.8113828;9.5009707;2.5019917;11.505551;92.400098;0.5700733
107;45.571644;28.277424;10.577097;27.277424;15.190198;2.0039811;13.137717;5.0023235;4.8939005;19.141036;8;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
108;51.511517;28.252517;19.987029;27.252517;14.936919;2.1217251;13.095827;7.3788554;4.7207359;21.505114;11;4;0.5000000;1.2810124;59.750729;68.099847;0.4634112;10.070394;19.798990;0.4394337;6225.0239;518.75199;286.45937;318.90155;32.442182;89.826898;2.0544018;22.580758;10.064451;19.812876;0.0420477;7315.6812;609.64010;32.212560;37.780416;5.5678558;85.262587;0.6123587;2.4497754;1.1029777;19.798515;330.00000;45.616113;49.618139;4.0020259;91.934349;0.8235980;6.1713843;2.5903765;11.091092;91.934349;0.4634112
109;46.311562;23.437752;29.847594;22.437752;11.723591;2.0088299;10.716668;5.0356077;2.2138052;16.754483;7;5;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
110;59.332892;26.481239;12.984987;25.481239;12.330655;2.7922581;12.042555;9.0796682;4.9631167;22.320288;7;6;0.5000000;1.5911023;46.829672;53.944855;0.4289103;15.105592;19.798990;0.2519475;16383.854;1365.3211;432.26968;468.15222;35.882547;92.335282;1.8074520;25.359815;15.105019;19.802258;0.2519574;10000.000;833.33333;263.84915;292.81613;28.966981;90.107450;2.0881655;24.259175;14.987729;12.372278;330.00000;45.615944;51.414579;5.7986349;88.721808;1.0400789;10.998024;6.5782591;4.5913536;88.721808;0.4289103
111;59.503865;22.194630;31.257727;21.194630;10.586439;2.1334340;10.063956;14.698904;4.9938897;25.796218;29;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
112;50.555455;21.467163;10.072437;20.467163;10.115046;2.1093210;9.7062513;6.8560390;4.8080864;17.589621;6;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
113;45.122543;22.024216;10.063296;21.024216;10.199242;2.2661707;9.9455654;6.8822141;4.8157749;17.894322;5;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
114;55.375532;21.998896;10.479655;20.998896;10.369767;2.1718649;9.9564816;12.075732;2.7105823;23.075180;7;9;0.5000000;1.9173307;36.639498;41.976218;0.3461778;22.658387;19.798990;0.2223091;22904.019;1908.6683;533.20920;594.76014;61.550938;89.651133;8.9109151;40.067223;22.696037;19.770119;0.2219520;10000.000;833.33333;232.42759;270.23611;37.808523;86.009078;8.5185849;37.477942;22.056030;8.9150059;330.00000;45.617424;54.326561;8.7091370;83.968915;2.8545385;20.915970;10.702169;3.1347729;83.968915;0.3461778
115;54.062463;25.842730;23.263488;24.842730;12.298550;2.5802715;11.776297;9.1664209;3.5997624;22.087786;5;5;0.5000000;1.4332604;22.137618;26.805023;0.4839911;12.587993;19.798990;0.2502059;14358.218;1196.5181;376.20680;417.23015;41.023349;90.167693;1.4449536;14.864593;12.587913;19.799079;0.2502051;10000.000;833.33333;262.01412;291.86446;29.850340;89.772534;1.8020022;14.087501;12.416492;13.992054;330.00000;45.615962;51.855149;6.2391878;87.968046;0.8647909;6.2741602;5.5222563;5.4488212;87.968046;0.4839911
116;58.363040;21.786268;20.190835;20.786268;9.2635229;2.6490486;9.7308719;14.171620;4.7735752;25.064754;28;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
117;49.548268;23.099976;10.539795;22.099976;10.986572;2.2567052;10.485811;6.8057913;4.9736898;18.355779;8;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
118;45.259272;26.424945;10.137389;25.424945;13.538962;2.1679994;12.170473;5.6834438;3.0106499;18.895917;5;3;0.5000000;1.1432198;25.241795;31.185856;0.2171326;7.5527958;19.798990;0.0580271;33461.769;2788.4808;203.33340;255.89002;52.556618;79.461247;0.9912512;8.9358311;7.5533700;19.799572;0.0580188;10000.000;833.33333;60.757174;72.029176;11.272002;84.350783;1.3859264;7.0139263;6.6924553;6.2605735;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2171326
119;54.450687;25.507243;20.266643;24.507243;10.311833;3.4538132;11.390168;7.6828291;2.0113803;20.436451;6;5;0.5000000;1.4332604;28.536903;33.752899;0.4581567;12.587993;19.798990;0.2181304;16327.731;1360.6443;372.96723;427.40497;54.437740;87.263194;11.924844;8.1315206;12.589077;19.799379;0.2181092;10000.000;833.33333;228.40344;261.35708;32.953639;87.391335;11.955518;7.4053539;12.237386;12.433462;330.00000;45.615602;53.532436;7.9168339;85.211146;6.2225352;3.8491853;6.2071067;4.9848881;85.211146;0.4581567
120;59.074945;24.650080;34.351153;23.650080;12.302539;2.1523304;11.286958;13.588359;4.8243460;25.913399;13;3;0.5000000;1.1432198;23.435237;27.925204;0.7458586;7.5527958;19.798990;0.5600932;3364.2971;280.35809;197.32553;233.04473;35.719197;84.672815;2.2466700;25.899818;7.5539316;19.800675;0.0541764;4268.9188;355.74324;24.219028;29.103512;4.8844843;83.216856;0.6201691;3.2117760;0.8502398;19.797877;330.00000;45.616043;51.285552;5.6695090;88.945212;0.9252726;6.1215380;1.5854359;18.701963;88.945212;0.7458586
121;56.840163;22.312051;25.217937;21.312051;10.291220;2.3229793;10.075281;7.1169415;4.5561529;18.272967;6;5;0.5000000;1.4332604;59.571134;68.866567;0.6311911;12.587993;19.798990;0.2804950;12705.549;1058.7958;373.20483;401.84056;28.635734;92.873857;1.1261755;21.453310;12.572863;19.826367;0.2808458;10000.000;833.33333;294.10104;320.41855;26.317512;91.786520;1.5968825;20.758166;12.553875;15.759039;330.00000;45.615943;50.083188;4.4672447;91.080351;0.6560006;8.4816251;4.9537412;5.8982775;91.080351;0.6311911
122;50.177200;22.963634;13.981084;21.963634;10.928077;2.2372594;10.422502;6.4871682;4.8928612;17.968985;6;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
123;53.075986;22.771112;30.480674;21.771112;11.190054;2.0375126;10.376178;6.6296519;4.7508875;18.015208;5;5;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
124;54.104069;23.646793;14.612304;22.646793;11.239210;2.3256782;10.741977;6.7689420;3.3142383;18.592339;5;8;0.5000000;1.7525822;60.066375;68.582432;0.4077091;20.140789;19.798990;0.2289039;24189.669;2015.8057;579.84483;624.88665;45.041819;92.792002;1.9669899;25.211595;20.140702;19.799070;0.2289042;10000.000;833.33333;239.70791;267.28442;27.576503;89.682712;2.2705130;23.457746;19.788872;8.5006962;330.00000;45.615929;51.978964;6.3630351;87.758442;1.1800995;11.532121;9.5335122;3.2122422;87.758442;0.4077091
125;59.198922;22.680019;31.348958;21.680019;8.2429099;3.4785516;9.9703714;7.9756224;3.4031264;19.315632;5;9;0.5000000;1.9173307;55.387905;63.239706;0.8138507;22.658387;19.798990;0.5331733;11466.045;955.50372;640.19259;688.48285;48.290262;92.985989;1.8568709;27.631600;22.659514;19.800527;0.5331455;10000.000;833.33333;558.30866;604.08124;45.772583;92.422777;2.0993772;27.229324;22.621245;17.339248;330.00000;45.615992;49.251634;3.6356413;92.618232;0.5082110;6.3343552;4.7869521;5.9743149;92.618232;0.8138507
126;45.588648;21.256488;10.102506;20.256488;9.5861323;2.2985368;9.5536099;6.5548710;4.7504902;17.183115;5;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
