Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Post Process;Comment
11; 59.064000; 32.319360; 32.752001; 31.319360; 17.348219; 2.3685191; 15.067550; 8.5648599; 3.1434593; 24.724540;14;6; 0.5000000; 1.5911023; 62.781487; 70.407189; 0.8757800; 15.105592; 19.798990; 1.4808242; 2575.2976; 214.60814; 399.35538; 469.44859; 70.093213; 85.069033; 14.690680; 25.057652; 15.107005; 19.799541; 0.1473197; 3110.6629; 259.22191; 47.989067; 53.757619; 5.7685517; 89.269332; 3.8959203; 1.0401357; 1.5680854; 19.798612; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;
12; 52.584000; 25.084160; 24.112000; 24.084160; 10.790030; 3.0636134; 11.276177; 9.1885672; 3.1791345; 21.730647;5;8; 0.5000000; 1.7525822; 34.119490; 39.676929; 0.5051515; 20.140789; 19.798990; 0.4050160; 13731.718; 1144.3098; 582.40576; 636.07886; 53.673098; 91.561880; 2.5123738; 22.934242; 20.140689; 19.798890; 0.0414579; 15493.518; 1291.1265; 67.264544; 96.384946; 29.120402; 69.787396; 1.0752221; 2.8125916; 2.8146103; 19.797577; 330.00000; 45.615973; 51.008390; 5.3924168; 89.428373; 0.9356707; 6.4859030; 5.5748192; 5.2913451;1;
13; 55.584000; 34.604160; 18.112002; 33.604160; 18.786919; 2.4651690; 16.185788; 5.7509020; 3.1407610; 23.052982;14;3; 0.5000000; 1.1432198; 55.542839; 63.599678; 0.4810503; 7.5527958; 19.798990; 0.4514177; 4762.5104; 396.87587; 225.13508; 255.37363; 30.238550; 88.159095; 11.022965; 9.6269065; 7.5501829; 19.808172; 0.0451643; 5317.8261; 443.15217; 25.151138; 31.551484; 6.4003461; 79.714596; 1.5464113; 1.1867941; 0.9200997; 19.798139; 330.00000; 45.614588; 51.148136; 5.5335486; 89.181329; 3.1436249; 2.6169639; 1.9562431; 15.092044;1;
14; 59.904000; 23.560960; 23.872002; 22.560960; 10.826864; 2.5011967; 10.655181; 10.312010; 4.3534121; 22.092490;10;3; 0.5000000; 1.1432198; 27.898023; 33.265579; 0.6106266; 7.5527958; 19.798990; 0.2835331; 7299.7073; 608.30894; 216.73942; 242.06196; 25.322544; 89.538817; 1.1184820; 20.865024; 7.5412582; 19.832634; 0.0289098; 8431.6126; 702.63438; 25.526069; 31.566033; 6.0399638; 80.865623; 0.4417059; 2.5864762; 0.9216507; 19.797903; 330.00000; 45.615940; 50.713328; 5.0973878; 89.948623; 0.7726951; 8.4562425; 2.9754528; 9.9291970;1;
15; 54.648000; 21.923520; 10.864001; 20.923520; 8.9974661; 2.8310955; 9.7539861; 11.711871; 2.3481761; 22.673631;17;3; 0.5000000; 1.1432198; 29.684505; 34.437942; 0.3145731; 7.5527958; 19.798990; 0.1878155; 9787.6147; 815.63456; 192.50275; 223.37174; 30.868990; 86.180441; 8.5849748; 30.421866; 7.5535413; 19.799723; 0.0189241; 12218.933; 1018.2444; 24.214583; 33.581909; 9.3673267; 72.106033; 1.3726079; 4.5898930; 0.9816280; 19.795030; 330.00000; 45.617432; 55.129756; 9.5123246; 82.745571; 3.9905129; 18.600875; 4.3204928; 7.7564311;1;
16; 58.848000; 25.731520; 26.464000; 24.731520; 10.399333; 3.4901622; 11.493219; 7.7744697; 4.1712002; 20.640230;12;4; 0.5000000; 1.2810124; 61.203469; 69.576506; 0.7092778; 10.070394; 19.798990; 0.5743770; 4614.1377; 384.51147; 277.53400; 314.18484; 36.650839; 88.334626; 2.0031566; 24.540491; 10.070908; 19.800496; 0.0587792; 5615.4372; 467.95310; 34.564919; 38.319310; 3.7543911; 90.202352; 0.4163414; 3.0451241; 1.1192843; 19.798219; 330.00000; 45.615973; 49.198864; 3.5828914; 92.717532; 0.6384050; 5.4141348; 1.9926857; 14.238345;1;
17; 55.608000; 22.113920; 22.144002; 21.113920; 10.115917; 2.3398698; 9.9719925; 9.4228994; 3.3024080; 20.479859;13;4; 0.5000000; 1.2810124; 49.351364; 56.351896; 0.5506915; 10.070394; 19.798990; 0.4210546; 5797.1404; 483.09503; 255.61175; 292.07403; 36.462286; 87.516081; 3.0072802; 32.259578; 10.069986; 19.802594; 0.0402336; 7617.5819; 634.79849; 32.094807; 36.978746; 4.8839384; 86.792580; 0.6065492; 4.0472017; 1.0812163; 19.798411; 330.00000; 45.616180; 49.717292; 4.1011114; 91.751137; 0.9625158; 10.116762; 2.6848709; 10.835484;1;
18; 59.208000; 28.777920; 26.944000; 27.777920; 13.318752; 3.1184525; 13.109347; 5.6661055; 3.4040372; 20.055066;10;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
19; 59.808000; 25.921920; 37.744001; 24.921920; 11.517784; 2.9989365; 11.711226; 5.4854986; 2.1254321; 18.446459;7;6;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
20; 58.992000; 22.190080; 20.656000; 21.190080; 9.3664091; 2.7418240; 9.9095840; 9.9449762; 3.7224742; 21.040016;12;4; 0.5000000; 1.2810124; 44.928120; 51.615593; 0.5706222; 10.070394; 19.798990; 0.3657968; 6817.2286; 568.10238; 261.14177; 294.91561; 33.773841; 88.547964; 2.3516401; 31.351737; 10.070383; 19.798996; 0.0378804; 8768.2816; 730.69014; 34.782235; 40.101465; 5.3192294; 86.735573; 0.5294563; 4.2183585; 1.1729059; 19.796740; 330.00000; 45.616111; 49.927822; 4.3117114; 91.364111; 0.8719371; 10.943737; 3.0774890; 9.5271646;1;
