Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V)
21; 59.712000; 28.282880; 21.616001; 27.282880; 12.205248; 3.4984047; 12.766839; 5.7282479; 2.1881481; 19.869688;9;4; 0.5000000; 1.2810124; 51.283867; 59.069247; 0.6041744; 10.070394; 19.798990; 0.3309683; 8847.8697; 737.32248; 306.65764; 342.46285; 35.805206; 89.544791; 12.952349; 7.5005292; 10.071352; 19.799225; 0.0325291; 9470.5820; 789.21516; 32.260940; 46.875842; 14.614903; 68.822101; 2.1077425; 0.9359394; 1.3681711; 19.798132; 330.00000; 45.615685; 51.797474; 6.1817893; 88.065462; 4.7166448; 2.7594082; 3.4422235; 8.6735274
22; 59.352000; 25.236480; 21.136001; 24.236480; 12.285828; 2.3701144; 11.525711; 7.8366120; 2.9553112; 20.454852;10;4; 0.5000000; 1.2810124; 42.092181; 48.559564; 0.5776563; 10.070394; 19.798990; 0.3626957; 7613.3811; 634.44843; 289.16694; 320.59149; 31.424549; 90.197947; 3.0123198; 21.828475; 10.068724; 19.802892; 0.0344846; 8800.3451; 733.36210; 31.779968; 39.467198; 7.6872305; 80.522483; 0.5486688; 2.6305176; 1.1523413; 19.798105; 330.00000; 45.616092; 50.202411; 4.5863183; 90.864347; 1.0951224; 7.1736157; 3.1193834; 9.3486455
23; 56.952000; 36.660480; 37.936001; 35.660480; 19.484515; 2.8507712; 17.117547; 6.1629315; 4.0075041; 24.493171;9;6;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
24; 48.696000; 25.503040; 30.928000; 24.503040; 12.654771; 2.2808429; 11.681309; 6.0697177; 4.3296093; 18.821238;5;6; 0.5000000; 1.5911023; 59.557689; 68.609450; 0.5703892; 15.105592; 19.798990; 0.4077077; 10798.037; 899.83642; 461.02277; 495.56879; 34.546025; 93.029015; 1.5021217; 16.949035; 15.107108; 19.799289; 0.4076661; 10000.000; 833.33333; 426.90691; 460.18801; 33.281097; 92.767935; 1.6999168; 16.694581; 15.089060; 18.383017; 330.00000; 45.615970; 49.464913; 3.8489433; 92.218841; 0.5356429; 4.7440671; 4.1611763; 6.8818785
25; 58.896000; 24.551040; 34.528001; 23.551040; 10.053873; 3.2412922; 10.965197; 10.187725; 3.7851902; 22.463245;13;3; 0.5000000; 1.1432198; 31.762243; 37.142936; 0.7954605; 7.5527958; 19.798990; 0.5678965; 3464.7355; 288.72796; 206.04778; 240.38396; 34.336187; 85.716107; 1.9629498; 21.875574; 7.5556128; 19.793943; 0.0576711; 4230.3577; 352.52981; 25.548409; 29.545235; 3.9968258; 86.472181; 0.4240337; 2.7915393; 0.8627965; 19.798098; 330.00000; 45.615981; 50.397847; 4.7818652; 90.511767; 0.6528592; 5.0286267; 1.5460523; 18.818299
26; 59.496000; 21.695040; 15.328001; 20.695040; 8.2529047; 3.1217762; 9.5670759; 10.007119; 2.5065851; 20.854639;11;5; 0.5000000; 1.4332604; 42.368114; 48.469352; 0.4718622; 12.587993; 19.798990; 0.2901139; 10657.149; 888.09573; 323.77118; 361.56947; 37.798291; 89.546050; 6.0839658; 33.136218; 12.570280; 19.830536; 0.2905225; 10000.000; 833.33333; 304.23441; 341.25481; 37.020406; 89.151682; 6.6936425; 32.633004; 12.574208; 18.604735; 330.00000; 45.616245; 51.335706; 5.7194606; 88.858709; 1.8331031; 14.234562; 4.7292689; 6.4654915
27; 58.536000; 21.504640; 34.048001; 20.504640; 10.132725; 2.1138661; 9.7238535; 14.830720; 4.1977013; 25.583040;17;4; 0.5000000; 1.2810124; 36.276224; 41.681234; 0.7786543; 10.070394; 19.798990; 0.8083025; 2303.5270; 191.96059; 194.98259; 251.93759; 56.955000; 77.393211; 4.4074446; 43.167309; 10.071913; 19.801240; 0.0798962; 3911.5349; 325.96124; 32.726670; 36.645453; 3.9187834; 89.306222; 0.8100256; 6.8479346; 1.0764128; 19.797794; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
28; 50.976000; 28.930240; 23.968001; 27.930240; 14.813686; 2.4253856; 13.358774; 5.5814657; 4.5037520; 20.046586;7;4; 0.5000000; 1.2810124; 55.252524; 63.910559; 0.5010507; 10.070394; 19.798990; 0.3466283; 8504.9969; 708.74974; 308.72143; 335.43109; 26.709662; 92.037213; 1.0768695; 13.792991; 10.063265; 19.815829; 0.0350583; 9236.6044; 769.71704; 33.910308; 41.746910; 7.8366026; 81.228305; 0.4394035; 1.4866930; 1.2180427; 19.798552; 330.00000; 45.615977; 49.819071; 4.2030935; 91.563284; 0.5976766; 4.3974998; 3.2614480; 8.8236754
29; 49.924800; 23.842752; 15.366400; 22.842752; 10.447806; 2.7913654; 10.723535; 7.8614377; 3.5018406; 19.782814;15;3; 0.5000000; 1.1432198; 54.577275; 62.319529; 0.3655368; 7.5527958; 19.798990; 0.2799283; 6981.2698; 581.77248; 204.64914; 232.51160; 27.862466; 88.016742; 2.0681652; 26.154593; 7.5454939; 19.820412; 0.0266996; 8578.0591; 714.83826; 23.984052; 28.503978; 4.5199261; 84.142824; 0.5276855; 3.1246719; 0.8326369; 19.798224; 330.00000; 45.615977; 50.850038; 5.2340608; 89.706869; 1.0937589; 11.154398; 2.9967928; 9.9656070
30; 56.644800; 25.175552; 34.326401; 24.175552; 12.286472; 2.3480325; 11.500768; 7.8981724; 4.6320493; 20.485948;10;4; 0.5000000; 1.2810124; 56.275073; 64.508119; 0.8026524; 10.070394; 19.798990; 0.6005292; 4502.8853; 375.24044; 283.17415; 318.94570; 35.771546; 88.784440; 1.9911905; 22.563595; 10.071391; 19.799514; 0.0613283; 5374.3871; 447.86559; 34.515853; 38.459147; 3.9432945; 89.746797; 0.4172962; 2.7345438; 1.1230541; 19.798311; 330.00000; 45.615912; 49.320380; 3.7044681; 92.488971; 0.6254792; 4.6850345; 1.9169415; 14.825186
31; 57.964800; 28.412352; 16.086400; 27.412352; 13.327800; 2.9833688; 12.960334; 8.4315762; 2.5284220; 22.637752;25;3; 0.5000000; 1.1432198; 60.054467; 67.549577; 0.5026497; 7.5527958; 19.798990; 0.5426725; 3423.0073; 285.25061; 194.52448; 237.41477; 42.890290; 81.934448; 16.179100; 23.623789; 7.5534981; 19.799601; 0.0544793; 4251.8069; 354.31724; 24.256807; 27.947962; 3.6911551; 86.792758; 5.2728123; 0.0478236; 0.8152411; 19.798331; 330.00000; 45.610451; 50.329811; 4.7193601; 90.623132; 7.3315576; 2.4478402; 1.5354352; 18.815971
32; 56.284800; 22.129152; 33.846401; 21.129152; 9.3670528; 2.7197421; 9.8846405; 10.006537; 2.3992124; 21.071113;11;4; 0.5000000; 1.2810124; 32.812178; 38.093592; 0.7156452; 10.070394; 19.798990; 0.5299151; 4935.7336; 411.31113; 273.89661; 313.83225; 39.935634; 87.274847; 5.9467691; 24.689779; 10.078803; 19.785522; 0.0519552; 5959.7105; 496.64254; 32.425183; 39.599005; 7.1738226; 81.883831; 0.8508400; 3.1979726; 1.1561861; 19.797584; 330.00000; 45.616335; 51.045452; 5.4291168; 89.364152; 1.3572980; 6.1610927; 2.1869463; 13.487870
33; 59.884800; 28.793152; 38.646401; 27.793152; 15.566431; 2.0000533; 13.396563; 11.319003; 4.7915377; 25.715579;13;6; 0.5000000; 1.5911023; 52.701743; 59.524749; 0.9866688; 15.105592; 19.798990; 1.5298150; 2183.9473; 181.99561; 349.87240; 421.77127; 71.898875; 82.953112; 4.0762168; 35.491437; 15.080050; 19.835612; 0.1513494; 3131.8782; 260.98985; 49.637992; 54.620436; 4.9824445; 90.878058; 0.8024057; 4.7533944; 1.5981283; 19.798771; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
