Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V)
11; 55.584000; 34.604160; 18.112002; 33.604160; 18.786919; 2.4651690; 16.185788; 5.7509020; 3.1407610; 23.052982;14;3; 0.5000000; 1.1432198; 55.542839; 63.599678; 0.4810503; 7.5527958; 19.798990; 0.4514177; 4762.5104; 396.87587; 225.13508; 255.37363; 30.238550; 88.159095; 11.022965; 9.6269065; 7.5501829; 19.808172; 0.0451643; 5317.8261; 443.15217; 25.151138; 31.551484; 6.4003461; 79.714596; 1.5464113; 1.1867941; 0.9200997; 19.798139; 330.00000; 45.614588; 51.148136; 5.5335486; 89.181329; 3.1436249; 2.6169639; 1.9562431; 15.092044
12; 59.904000; 23.560960; 23.872002; 22.560960; 10.826864; 2.5011967; 10.655181; 10.312010; 4.3534121; 22.092490;10;3; 0.5000000; 1.1432198; 27.898023; 33.265579; 0.6106266; 7.5527958; 19.798990; 0.2835331; 7299.7073; 608.30894; 216.73942; 242.06196; 25.322544; 89.538817; 1.1184820; 20.865024; 7.5412582; 19.832634; 0.0289098; 8431.6126; 702.63438; 25.526069; 31.566033; 6.0399638; 80.865623; 0.4417059; 2.5864762; 0.9216507; 19.797903; 330.00000; 45.615940; 50.713328; 5.0973878; 89.948623; 0.7726951; 8.4562425; 2.9754528; 9.9291970
13; 54.648000; 21.923520; 10.864001; 20.923520; 8.9974661; 2.8310955; 9.7539861; 11.711871; 2.3481761; 22.673631;17;3; 0.5000000; 1.1432198; 29.684505; 34.437942; 0.3145731; 7.5527958; 19.798990; 0.1878155; 9787.6147; 815.63456; 192.50275; 223.37174; 30.868990; 86.180441; 8.5849748; 30.421866; 7.5535413; 19.799723; 0.1747128; 10000.000; 833.33333; 182.95881; 210.61229; 27.653479; 86.869959; 8.0594545; 28.771199; 7.0082195; 19.797777; 330.00000; 45.616423; 55.294680; 9.6782574; 82.496947; 4.1175052; 18.503847; 4.3221624; 7.7507133
14; 58.848000; 25.731520; 26.464000; 24.731520; 10.399333; 3.4901622; 11.493219; 7.7744697; 4.1712002; 20.640230;12;4; 0.5000000; 1.2810124; 61.203469; 69.576506; 0.7092778; 10.070394; 19.798990; 0.5743770; 4614.1377; 384.51147; 277.53400; 314.18484; 36.650839; 88.334626; 2.0031566; 24.540491; 10.070908; 19.800496; 0.0587792; 5615.4372; 467.95310; 34.564919; 38.319310; 3.7543911; 90.202352; 0.4163414; 3.0451241; 1.1192843; 19.798219; 330.00000; 45.615973; 49.198864; 3.5828914; 92.717532; 0.6384050; 5.4141348; 1.9926857; 14.238345
15; 55.608000; 22.113920; 22.144002; 21.113920; 10.115917; 2.3398698; 9.9719925; 9.4228994; 3.3024080; 20.479859;13;4; 0.5000000; 1.2810124; 49.351364; 56.351896; 0.5506915; 10.070394; 19.798990; 0.4210546; 5797.1404; 483.09503; 255.61175; 292.07403; 36.462286; 87.516081; 3.0072802; 32.259578; 10.069986; 19.802594; 0.0402336; 7617.5819; 634.79849; 32.094807; 36.978746; 4.8839384; 86.792580; 0.6065492; 4.0472017; 1.0812163; 19.798411; 330.00000; 45.616180; 49.717292; 4.1011114; 91.751137; 0.9625158; 10.116762; 2.6848709; 10.835484
16; 59.208000; 28.777920; 26.944000; 27.777920; 13.318752; 3.1184525; 13.109347; 5.6661055; 3.4040372; 20.055066;10;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
17; 59.808000; 25.921920; 37.744001; 24.921920; 11.517784; 2.9989365; 11.711226; 5.4854986; 2.1254321; 18.446459;7;6;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
18; 58.992000; 22.190080; 20.656000; 21.190080; 9.3664091; 2.7418240; 9.9095840; 9.9449762; 3.7224742; 21.040016;12;4; 0.5000000; 1.2810124; 44.928120; 51.615593; 0.5706222; 10.070394; 19.798990; 0.3657968; 6817.2286; 568.10238; 261.14177; 294.91561; 33.773841; 88.547964; 2.3516401; 31.351737; 10.070383; 19.798996; 0.0378804; 8768.2816; 730.69014; 34.782235; 40.101465; 5.3192294; 86.735573; 0.5294563; 4.2183585; 1.1729059; 19.796740; 330.00000; 45.616111; 49.927822; 4.3117114; 91.364111; 0.8719371; 10.943737; 3.0774890; 9.5271646
19; 55.512000; 24.474880; 36.016002; 23.474880; 10.803381; 2.8393381; 11.027605; 9.6656487; 3.3651240; 21.903089;14;3; 0.5000000; 1.1432198; 34.867808; 40.478423; 0.7439998; 7.5527958; 19.798990; 0.6337547; 3046.5802; 253.88168; 202.19128; 239.22074; 37.029459; 84.520799; 2.4179500; 22.557413; 7.5535428; 19.799556; 0.0644337; 3783.4592; 315.28827; 25.528826; 29.409969; 3.8811423; 86.803310; 0.4451336; 2.9220707; 0.8589336; 19.798034; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
20; 56.112000; 21.618880; 16.816002; 20.618880; 9.0041415; 2.7189578; 9.6297005; 6.9504113; 2.4411708; 17.759851;9;4; 0.5000000; 1.2810124; 48.915056; 56.342800; 0.4518918; 10.070394; 19.798990; 0.2107113; 13074.860; 1089.5716; 288.50515; 317.58787; 29.082713; 90.842625; 2.5632095; 23.144272; 10.070164; 19.801907; 0.2107166; 10000.000; 833.33333; 220.66187; 246.34825; 25.686374; 89.573145; 2.8841722; 22.380875; 10.017429; 15.354799; 330.00000; 45.615998; 52.387485; 6.7714864; 87.074229; 1.4517950; 11.884768; 5.2258180; 5.9075630
