Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Post Process;Comment
1; 48.600000; 27.864000; 14.800000; 26.864000; 12.798285; 3.0522861; 12.668928; 6.3124670; 4.3923253; 20.244467;6;4; 0.5000000; 1.2810124; 40.082719; 47.200738; 0.3221056; 10.070394; 19.798990; 0.1708671; 17095.410; 1424.6175; 305.89098; 337.02766; 31.136683; 90.761386; 1.1916720; 12.597456; 10.070335; 19.799074; 0.0165017; 18194.683; 1516.2236; 31.441389; 49.881085; 18.439696; 63.032688; 0.8008899; 1.3128614; 1.4551788; 19.798662; 330.00000; 45.615907; 52.944755; 7.3288480; 86.157556; 0.8693002; 7.3764788; 6.3429359; 4.8496597;1;
2; 54.600000; 23.104000; 32.800001; 22.104000; 9.1546646; 3.1740963; 10.258476; 11.833245; 2.3795341; 23.385245;18;5; 0.5000000; 1.4332604; 49.664102; 55.939795; 0.7217281; 12.587993; 19.798990; 0.9906439; 2686.8623; 223.90519; 278.73504; 350.32702; 71.591974; 79.564244; 22.626056; 35.784291; 12.589067; 19.799809; 0.1027514; 3578.0304; 298.16920; 38.499965; 43.563627; 5.0636616; 88.376400; 3.2035595; 4.0163849; 1.2697785; 19.796682; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;
3; 59.400000; 24.056000; 29.200001; 23.056000; 10.612568; 2.7851444; 10.831714; 10.249868; 2.5693012; 22.277868;12;3; 0.5000000; 1.1432198; 24.675780; 29.187993; 0.6749334; 7.5527958; 19.798990; 0.4165715; 4894.4895; 407.87413; 213.51359; 245.10771; 31.594116; 87.110109; 4.9351167; 18.874822; 7.5600170; 19.782143; 0.0407719; 5688.6680; 474.05567; 24.288441; 31.191834; 6.9033932; 77.867947; 0.7769732; 2.4250817; 0.9105307; 19.797882; 330.00000; 45.616136; 51.411657; 5.7955211; 88.727224; 1.4161565; 5.7915753; 2.0945814; 14.226410;1;
4; 54.720000; 32.052800; 22.960001; 31.052800; 16.052442; 2.9212075; 14.796098; 7.7971238; 2.1238131; 23.823524;18;3; 0.5000000; 1.1432198; 42.652370; 48.765409; 0.5356588; 7.5527958; 19.798990; 0.5393976; 3802.4121; 316.86768; 214.78146; 255.95702; 41.175560; 83.913096; 20.412198; 8.7818886; 7.5527881; 19.799009; 0.0532976; 4309.7288; 359.14406; 24.053952; 32.891288; 8.8373354; 73.131683; 2.3542157; 1.4497237; 0.9545486; 19.798606; 330.00000; 45.618760; 54.803490; 9.1847301; 83.240611; 5.0203208; 1.8029021; 1.7124214; 18.415323;1;
5; 48.840000; 21.961600; 25.120000; 20.961600; 8.3781903; 3.1543334; 9.6922166; 6.9729088; 2.5573450; 17.953709;14;3; 0.5000000; 1.1432198; 57.017278; 65.093053; 0.4876353; 7.5527958; 19.798990; 0.3808193; 5164.4243; 430.36869; 205.95365; 236.60851; 30.654862; 87.044058; 2.8613858; 24.048264; 7.5543626; 19.801793; 0.0390817; 6295.5219; 524.62683; 25.765247; 29.893377; 4.1281290; 86.190489; 0.5274289; 3.1037107; 0.8731579; 19.797749; 330.00000; 45.616119; 49.940045; 4.3239253; 91.341767; 0.9320153; 8.0128312; 2.2311386; 13.032183;1;
6; 59.760000; 27.102400; 29.680002; 26.102400; 11.873901; 3.2424781; 12.240580; 8.1415037; 4.8021381; 21.692704;10;3; 0.5000000; 1.1432198; 37.444871; 43.926884; 0.7498428; 7.5527958; 19.798990; 0.4286992; 4961.1903; 413.43253; 222.72406; 249.21943; 26.495370; 89.368658; 1.0612371; 15.849251; 7.5468455; 19.819341; 0.0433179; 5615.5417; 467.96181; 25.473454; 29.844544; 4.3710901; 85.353805; 0.3265125; 1.8569433; 0.8709475; 19.798545; 330.00000; 45.615985; 49.686514; 4.0705285; 91.807579; 0.4317322; 4.4714310; 2.0075613; 14.323539;1;
7; 55.080000; 35.099200; 23.440001; 34.099200; 18.529775; 2.7705412; 16.356965; 5.6887597; 4.3566500; 23.238360;16;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
8; 52.224000; 22.037760; 23.632000; 21.037760; 8.1056886; 3.3177843; 9.6894339; 11.296931; 3.9462975; 22.315811;7;6; 0.5000000; 1.5911023; 33.410932; 39.007017; 0.4865798; 15.105592; 19.798990; 0.3566984; 10879.158; 906.59651; 406.37326; 447.61164; 41.238375; 90.787019; 1.9250939; 30.232765; 15.105688; 19.801450; 0.0348383; 13346.248; 1112.1873; 48.690495; 63.859995; 15.169500; 76.245692; 0.9454962; 3.6708870; 1.8666026; 19.796402; 330.00000; 45.616125; 50.617235; 5.0011099; 90.119749; 0.9174166; 10.151580; 4.7270834; 6.2729797;1;
9; 55.224000; 31.557760; 17.632002; 30.557760; 15.390828; 3.0752148; 14.510076; 7.8592662; 3.9079240; 23.638146;16;3; 0.5000000; 1.1432198; 45.695338; 52.294446; 0.4608439; 7.5527958; 19.798990; 0.4889866; 4140.1340; 345.01117; 212.00203; 243.89005; 31.888020; 86.925248; 3.0155371; 19.692044; 7.5516348; 19.804564; 0.0473409; 4900.2680; 408.35567; 24.293188; 29.054646; 4.7614585; 83.612058; 0.6194711; 2.2908121; 0.8481320; 19.798370; 330.00000; 45.616059; 50.503382; 4.8873233; 90.322780; 0.9619522; 5.0602670; 1.7838407; 16.364651;1;
10; 58.824000; 38.221760; 22.432001; 37.221760; 20.734956; 2.7831506; 17.915092; 6.6371027; 3.6549013; 25.747983;16;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
